programa,n,hilos,funcion,a,b,rep,tiempo,area,error
paralelo,100000000,1,1,0,1,3,0.054000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,2,1,0,1,3,0.034000,0.333333328333340,4.999993585830254e-09
paralelo,100000000,4,1,0,1,3,0.013000,0.333333328333350,4.999983038711520e-09
paralelo,100000000,8,1,0,1,3,0.011000,0.333333328333329,5.000004188460139e-09
paralelo,100000000,16,1,0,1,3,0.010000,0.333333328333351,4.999982317066554e-09
secuencial,500000000,1,1,0,1,3,0.253000,0.333333332333356,9.999771566349125e-10
paralelo,500000000,1,1,0,1,3,0.248000,0.333333332333356,9.999771566349125e-10
paralelo,500000000,2,1,0,1,3,0.129000,0.333333332333382,9.999509553715313e-10
paralelo,500000000,4,1,0,1,3,0.066000,0.333333332333287,1.000046045973590e-09
paralelo,500000000,8,1,0,1,3,0.044000,0.333333332333319,1.000014071550481e-09
paralelo,500000000,16,1,0,1,3,0.032000,0.333333332333436,9.998972205771395e-10
secuencial,1000000000,1,1,0,1,3,0.524000,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,1,1,0,1,3,0.506000,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,2,1,0,1,3,0.273000,0.333333332833332,5.000013736378150e-10
paralelo,1000000000,4,1,0,1,3,0.153000,0.333333332833382,4.999517466686143e-10
paralelo,1000000000,8,1,0,1,3,0.103000,0.333333332833345,4.999882174949732e-10
paralelo,1000000000,16,1,0,1,3,0.072000,0.333333332833357,4.999765601532147e-10
secuencial,100000000,1,3,0,1,3,0.247000,0.459697689924563,4.207296844249697e-09
paralelo,100000000,1,3,0,1,3,0.191000,0.459697689924563,4.207296844249697e-09
paralelo,100000000,2,3,0,1,3,0.121000,0.459697689924628,4.207232451314269e-09
paralelo,100000000,4,3,0,1,3,0.087000,0.459697689924516,4.207343806683639e-09
paralelo,100000000,8,3,0,1,3,0.065000,0.459697689924481,4.207379666887334e-09
paralelo,100000000,16,3,0,1,3,0.042000,0.459697689924490,4.207370063458171e-09
secuencial,500000000,1,3,0,1,3,1.302000,0.459697693290446,8.414139940349230e-10
paralelo,500000000,1,3,0,1,3,0.962000,0.459697693290446,8.414139940349230e-10
paralelo,500000000,2,3,0,1,3,0.621000,0.459697693290424,8.414359209396594e-10
paralelo,500000000,4,3,0,1,3,0.454000,0.459697693290402,8.414584029559080e-10
paralelo,500000000,8,3,0,1,3,0.259000,0.459697693290400,8.414604013573523e-10
paralelo,500000000,16,3,0,1,3,0.177000,0.459697693290394,8.414667296285927e-10
secuencial,1000000000,1,3,0,1,3,2.593000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,1,3,0,1,3,1.931000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,2,3,0,1,3,1.190000,0.459697693711131,4.207295623004370e-10
paralelo,1000000000,4,3,0,1,3,0.876000,0.459697693711127,4.207335591033257e-10
paralelo,1000000000,8,3,0,1,3,0.533000,0.459697693711121,4.207391102184488e-10
paralelo,1000000000,16,3,0,1,3,0.329000,0.459697693711118,4.207417747537079e-10
secuencial,100000000,1,1,0,1,4,0.051000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,1,1,0,1,4,0.050000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,2,1,0,1,4,0.026000,0.333333328333340,4.999993585830254e-09
